Open,Day Range,52 Week Range,Market Cap,Shares Outstanding,Public Float,Beta,Rev. per Employee,P/E Ratio,EPS,Yield,Dividend,Ex-Dividend Date,Short Interest,% of Float Shorted,Average Volume,Instrument
270.00,239.00 - 270.00,47.00 - 439.50,30B,0,36.9M,0,3.278M,7.01,35.83,0,0,0,0,0,675.49K,RCL.N0000
14.10,14.10 - 14.80,14.10 - 27.90,1.46B,0,0,0,2.228M,0,-3.45,0,0,0,0,0,682.85K,SHOT.N0000
42.00,41.50 - 42.30,18.69 - 60.00,24.18B,260.31M,98.53M,0,0,7.13,5.87,0,0,0,0,0,963.77K,SEYB.X0000
36.90,30.00 - 36.90,17.50 - 42.00,289.8M,0,0,0,1.518M,0,-6.24,0,0,0,0,0,7.7K,SIGV.N0000
55.90,51.40 - 55.90,20.00 - 86.00,20.58B,0,43.42M,0,18.606M,11.56,4.50,0,0,0,0,0,137.67K,SINS.N0000
1.90,1.90 - 2.10,1.20 - 3.90,0,0,0,0,0,0,0,0,0,0,0,0,1.3M,SINH.N0000
0.50,0.50 - 0.60,0.30 - 1.50,899.28M,0,0,0,0,0,-0.02,0,0,0,0,0,5.15M,SEMB.N0000
78.20,77.50 - 80.00,36.00 - 105.00,11.95B,0,16.76M,0,0,9.55,8.16,0,0,0,0,0,421.6K,SUN.N0000
64.80,59.10 - 64.80,16.00 - 82.00,27.51B,0,101.16M,0,25.900M,5.10,12.05,0,0,0,0,0,1.57M,TKYO.X0000
56.00,55.10 - 56.00,16.10 - 65.60,11.39B,0,41.04M,0,0,8.63,6.41,0,0,0,0,0,74.34K,WATA.N0000
33.00,33.00 - 33.00,28.20 - 42.80,6.98B,211.37M,0,0,0,0,-1.69,0,0,0,0,0,6.59K,ASCO.N0000
195.00,175.25 - 195.00,50.00 - 342.00,10.4B,0,12.59M,0,8.938M,7.61,24.54,0,0,0,0,0,224.69K,TILE.N0000
48.20,48.20 - 48.90,29.00 - 63.00,2.45B,0,0,0,0,7.24,6.68,0,0,0,0,0,10.56K,LVEN.N0000
