Open,Day Range,52 Week Range,Market Cap,Shares Outstanding,Public Float,Beta,Rev. per Employee,P/E Ratio,EPS,Yield,Dividend,Ex-Dividend Date,Short Interest,% of Float Shorted,Average Volume,Instrument
['රු.30.80'],['30.00 - 30.80'],['29.90 - 36.50'],['රු.3.08B'],['99.41M'],['0'],['N/A'],['රු.612.11K'],['N/A'],['-රු.3.42'],['N/A'],['N/A'],['N/A'],['N/A'],['N/A'],['5.64K'],KAHA.N0000?countryCode=LK
['රු.5.30'],['5.10 - 5.30'],['3.10 - 6.00'],['රු.3B'],['N/A'],['N/A'],['N/A'],['N/A'],['N/A'],['-රු.0.23'],['N/A'],['N/A'],['N/A'],['N/A'],['N/A'],['11.38K'],KHC.N0000?countryCode=LK
['රු.149.00'],['142.00 - 149.00'],['97.00 - 164.00'],['රු.3.76B'],['N/A'],['N/A'],['N/A'],['N/A'],['17.94'],['රු.7.96'],['N/A'],['N/A'],['N/A'],['N/A'],['N/A'],['7.67K'],KFP.N0000?countryCode=LK
['රු.135.00'],['130.00 - 144.00'],['35.00 - 170.00'],['රු.3.41B'],['N/A'],['N/A'],['N/A'],['රු.435.71K'],['13.49'],['රු.9.78'],['N/A'],['N/A'],['N/A'],['N/A'],['N/A'],['23.96K'],KGAL.N0000?countryCode=LK
['රු.165.00'],['160.00 - 165.00'],['50.00 - 195.00'],['රු.3.61B'],['N/A'],['N/A'],['N/A'],['රු.17.043M'],['15.44'],['රු.10.62'],['N/A'],['N/A'],['N/A'],['N/A'],['N/A'],['59.16K'],KCAB.N0000?countryCode=LK
['රු.96.90'],['92.10 - 98.00'],['32.00 - 112.00'],['රු.7.57B'],['N/A'],['0'],['N/A'],['N/A'],['9.49'],['රු.9.82'],['N/A'],['N/A'],['N/A'],['N/A'],['N/A'],['411.47K'],TYRE.N0000?countryCode=LK
['රු.93.70'],['93.00 - 94.60'],['63.10 - 105.00'],['රු.3.04B'],['N/A'],['5.14M'],['N/A'],['N/A'],['15.28'],['රු.6.17'],['N/A'],['N/A'],['N/A'],['N/A'],['N/A'],['51.92K'],KVAL.N0000?countryCode=LK
['රු.36.30'],['36.30 - 40.00'],['21.10 - 43.80'],['රු.697.17M'],['N/A'],['N/A'],['N/A'],['N/A'],['N/A'],['-රු.9.68'],['N/A'],['N/A'],['N/A'],['N/A'],['N/A'],['2.78K'],KDL.N0000?countryCode=LK
['රු.13.40'],['12.70 - 13.40'],['6.00 - 15.50'],['රු.3.27B'],['N/A'],['0'],['N/A'],['රු.2.308M'],['N/A'],['-රු.2.44'],['N/A'],['N/A'],['N/A'],['N/A'],['N/A'],['43.84K'],SERV.N0000?countryCode=LK
['රු.6.90'],['6.70 - 7.10'],['4.10 - 12.50'],['රු.496.48M'],['N/A'],['9.92M'],['N/A'],['රු.416.29K'],['N/A'],['-රු.7.85'],['N/A'],['N/A'],['N/A'],['N/A'],['N/A'],['205.72K'],KOTA.N0000?countryCode=LK
